"GEOIDFQ","Name","ST","Square_Miles","Latitude","Longitude","Electoral_College","Winner_2024","Votes_Dem_2024","Percent_Dem_2024","Votes_GOP_2024","Percent_GOP_2024","Votes_Other_2024","Percent_Other_2024","Winner_2020","Votes_Dem_2020","Percent_Dem_2020","Votes_GOP_2020","Percent_GOP_2020","Votes_Other_2020","Percent_Other_2020","Winner_2016","Votes_Dem_2016","Percent_Dem_2016","Votes_GOP_2016","Percent_GOP_2016","Votes_Other_2016","Percent_Other_2016","Winner_2012","Votes_Dem_2012","Percent_Dem_2012","Votes_GOP_2012","Percent_GOP_2012","Votes_Other_2012","Percent_Other_2012","Senate1_Name","Senate1_Party","Senate1_Year","Senate1_Votes","Senate1_Percent","Senate2_Name","Senate2_Party","Senate2_Year","Senate2_Votes","Senate2_Percent","Senate3_Name","Senate3_Party","Senate3_Year","Senate3_Votes","Senate3_Percent","Total_Population","Median_Household_Income","Median_Age","Percent_Under_18","Percent_Bachelors_Degree"
"0400000US15","Hawaii","HI",6423,20.25,-156.34,4,"Kamala D. Harris",313044,60.59,193661,37.48,9996,1.93,"Joseph R. Biden",366130,63.73,196864,34.27,11475,2,"Hillary R. Clinton",266891,62.22,128847,30.04,33199,7.74,"Barack H. Obama",306658,70.55,121015,27.84,7024,1.61,"Mazie Hirono","Democratic",2024,324194,64.61,,,,,,"Brian Schatz","Democratic",2022,290894,71.21,1445635,98317,40.6,20.9,22.5
"0400000US16","Idaho","ID",82645,44.35,-114.61,4,"Donald J. Trump",274972,30.39,605246,66.89,24594,2.72,"Donald J. Trump",287021,33.09,554119,63.89,26221,3.02,"Donald J. Trump",189765,27.49,409055,59.26,91435,13.25,"Mitt Romney",212787,32.62,420911,64.53,18576,2.85,,,,,,"James E. Risch","Republican",2020,538446,62.62,"Mike Crapo","Republican",2022,358539,60.68,1893296,74636,37.1,24.5,20.8
"0400000US17","Illinois","IL",55513,40.04,-89.2,19,"Kamala D. Harris",3062863,54.37,2449079,43.47,121368,2.16,"Joseph R. Biden",3471915,57.54,2446891,40.55,114938,1.91,"Hillary R. Clinton",3090729,55.83,2146015,38.76,299680,5.41,"Barack H. Obama",3019512,57.6,2135216,40.73,87286,1.67,,,,,,"Richard J. Durbin","Democratic",2020,3278930,54.93,"Tammy Duckworth","Democratic",2022,2329136,56.82,12692653,81702,38.9,22.1,22.3
"0400000US18","Indiana","IN",35825,39.89,-86.28,11,"Donald J. Trump",1163603,39.62,1720347,58.58,52727,1.8,"Donald J. Trump",1242416,40.96,1729519,57.02,61186,2.02,"Donald J. Trump",1035956,37.97,1556514,57.05,135668,4.98,"Mitt Romney",1147468,43.99,1409956,54.06,50782,1.95,"Jim Banks","Republican",2024,1659416,58.64,,,,,,"Todd Young","Republican",2022,1090165,58.65,6811752,70051,38,23.4,18.3
"0400000US19","Iowa","IA",55853,42.08,-93.5,6,"Donald J. Trump",707278,42.52,927019,55.73,29209,1.75,"Donald J. Trump",759061,44.65,897672,52.8,43397,2.55,"Donald J. Trump",653669,41.34,800983,50.65,126719,8.01,"Barack H. Obama",822544,51.74,730617,45.95,36738,2.31,,,,,,"Joni Ernst","Republican",2020,864997,50.88,"Chuck Grassley","Republican",2022,681501,56.01,3195937,73147,38.6,23,20.6
"0400000US20","Kansas","KS",81758,38.49,-98.38,6,"Donald J. Trump",544853,41.04,758802,57.16,23936,1.8,"Donald J. Trump",570323,41.52,771406,56.15,32034,2.33,"Donald J. Trump",427005,36.05,671018,56.65,86379,7.3,"Mitt Romney",439584,38.17,688330,59.77,23693,2.06,,,,,,"Roger Marshall","Republican",2020,727962,53.21,"Jerry Moran","Republican",2022,602976,60,2937569,72639,37.2,24,22
"0400000US21","Kentucky","KY",39485,37.53,-85.3,8,"Donald J. Trump",704043,33.94,1337494,64.47,32993,1.59,"Donald J. Trump",772474,36.15,1326646,62.09,37648,1.76,"Donald J. Trump",628854,32.68,1202971,62.52,92324,4.8,"Mitt Romney",679370,37.8,1087190,60.49,30652,1.71,,,,,,"Mitch McConnell","Republican",2020,1233315,57.76,"Rand Paul","Republican",2022,913326,61.8,4510725,62417,39.1,22.7,15.9
"0400000US22","Louisiana","LA",43216,31.05,-91.97,8,"Donald J. Trump",766870,38.21,1208505,60.22,31600,1.57,"Donald J. Trump",856034,39.85,1255776,58.46,36252,1.69,"Donald J. Trump",780154,38.45,1178638,58.09,70240,3.46,"Mitt Romney",809141,40.58,1152262,57.78,32662,1.64,,,,,,"Bill Cassidy","Republican",2020,1228908,59.32,"John Kennedy","Republican",2022,851568,61.56,4621025,60023,37.8,23.6,16.8
"0400000US23","Maine","ME",30845,45.36,-69.24,4,"Kamala D. Harris",435652,52.4,377977,45.46,17746,2.14,"Joseph R. Biden",435072,52.53,360737,43.55,32496,3.92,"Hillary R. Clinton",357735,46.35,335593,43.48,78564,10.17,"Barack H. Obama",401306,55.37,292276,40.33,31176,4.3,"King, Angus S. Jr.","Independent",2024,427570,52.07,"Susan M. Collins","Republican",2020,417645,50.42,,,,,,1377400,71773,44.8,18.3,22
"0400000US24","Maryland","MD",9711,39.04,-76.76,10,"Kamala D. Harris",1902577,62.62,1035550,34.08,100075,3.3,"Joseph R. Biden",1985023,65.36,976414,32.15,75593,2.49,"Hillary R. Clinton",1677928,60.33,943169,33.91,160349,5.76,"Barack H. Obama",1677844,61.97,971869,35.9,57614,2.13,"Angela Alsobrooks","Democratic",2024,1650912,54.64,,,,,,"Chris Van Hollen ","Democratic",2022,1316897,65.77,6170738,101652,39.3,22.3,22.5
